Buy Date,Buy Cost,Sell Date,Sell Cost,Profit
2005-09-04,3.0771,2005-12-11,3.6771,194.9887881446815
2006-04-16,4.17,2006-05-21,3.9814,-54.04673511848614
2006-10-08,3.4443,2007-01-14,3.2443,-66.25102650908434
2007-04-15,3.5143,2007-04-29,3.1729,-104.40187703182482
2007-06-10,3.3471,2007-06-17,2.8157,-154.04728094065945
2007-09-23,2.7414,2008-01-20,3.1214,113.14361641750861
2008-02-10,3.84,2008-05-11,4.3886,132.77627006516366
2008-09-28,4.6957,2008-10-05,4.1386,-126.01535739627923
2008-12-14,4.0729,2009-05-17,5.5,328.01554765872686
2009-08-16,6.3557,2009-09-06,5.85,-100.5847814926799
2009-09-27,6.6086,2009-10-04,6.3886,-38.735432018181655
2009-10-11,6.7014,2010-01-03,7.87,196.15155754869215
2010-02-14,9.0257,2010-07-25,15.386,930.8877558649401
2010-08-22,18.566,2011-01-02,25.1,792.5126979041211
2011-01-30,31.14,2011-03-13,29.22,-187.70828473813572
2011-04-03,34.584,2011-05-01,33.239,-111.09883013798844
2011-05-29,37.787,2011-06-19,35.096,-195.52686417395944
2011-07-10,42.163,2011-07-31,37.999,-251.84282089722865
2012-01-08,12.327,2012-05-06,10.449,-350.12991151411006
2012-07-08,11.699,2013-04-21,23.339,1938.262505191377
2013-04-28,30.793,2013-06-16,30.57,-28.14457658274023
2013-07-21,37.797,2013-08-04,35.169,-268.25839710878745
2013-08-25,39.766,2014-01-05,51.871,1092.8004613677504
2014-02-09,61.426,2014-03-23,57.999,-261.25376962477094
2014-06-08,61.447,2014-09-28,64.107,191.40351942284542
2015-01-25,62.493,2015-09-06,98.79,2679.2491033683673
2015-11-29,125.44,2015-12-27,117.33,-471.454903283623
2016-04-10,103.81,2016-05-01,90.03,-905.3956422987576
2016-06-05,99.59,2016-06-12,93.75,-346.8754366842795
2016-07-10,97.06,2016-07-24,85.89,-640.8329922897901
2016-08-07,97.05,2017-03-26,142.02,2283.292973034343
2017-05-07,156.6,2017-06-18,152.38,-194.31617546194684
2017-07-23,188.54,2017-08-27,165.95,-840.6925532962696
2017-09-17,182.35,2017-11-26,195.75,453.83423841520016
2018-01-14,221.23,2018-05-20,324.18,3085.151966137213
2018-05-27,351.29,2018-07-22,361.05,269.9109219019829
2019-01-20,339.1,2019-05-26,354.39,450.21264201434496
2019-07-07,380.55,2019-07-21,315.1,-1794.6905819022068
2019-11-17,295.03,2020-09-13,482.03,5476.508465070237
2021-01-24,565.17,2021-03-07,516.39,-1218.4253329378316
2021-07-11,535.98,2021-12-12,611.66,1821.2412849612465
2022-07-03,179.95,2023-03-12,292.76,9227.67290950737
2023-05-21,365.36,2023-08-20,404.53,2567.3726123932465
2023-11-19,465.91,2024-03-24,628.01,9225.01433805918
