Date,Open,High,Low,Close,Volume
2005-02-27,1.5271,1.5829,1.5214,1.57,29469293
2005-03-06,1.5829,1.5857,1.5,1.5286,38372082
2005-03-13,1.5271,1.5457,1.3386,1.3471,36340346
2005-03-20,1.3457,1.3929,1.3,1.3143,35583037
2005-03-27,1.3214,1.3571,1.2729,1.29,23149707
2005-04-03,1.3786,1.5714,1.3571,1.5471,52241189
2005-04-10,1.5657,1.7386,1.5014,1.7157,51690996
2005-04-17,1.72,1.8571,1.6429,1.67,42119287
2005-04-24,1.6843,1.7457,1.5543,1.6,51518593
2005-05-01,1.6143,1.6771,1.5857,1.65,24702671
2005-05-08,1.6471,1.7143,1.6171,1.6529,21551089
2005-05-15,1.6429,2.0857,1.6357,2.04,100805551
2005-05-22,2.0686,2.7529,1.95,2.2757,225058617
2005-05-29,2.2557,2.29,2.0214,2.0786,57923558
2005-06-05,2.0771,2.1629,1.9957,2.0957,25320925
2005-06-12,2.0786,2.4414,2.0571,2.4157,45603586
2005-06-19,2.3857,2.5486,2.3143,2.46,45820880
2005-06-26,2.4286,2.4757,2.1071,2.2529,41734770
2005-07-03,2.2643,2.3829,2.2357,2.3643,31067680
2005-07-10,2.3371,2.4657,2.2957,2.3871,20316842
2005-07-17,2.4014,2.5,2.2857,2.3429,25658381
2005-07-24,2.2957,2.43,2.2943,2.3429,21288099
2005-07-31,2.3429,2.9714,2.3429,2.6514,152862150
2005-08-07,2.67,3.0529,2.6071,2.9957,85374079
2005-08-14,3.0157,3.2214,2.9214,3.1571,79721859
2005-08-21,3.1243,3.2486,2.9857,3.0543,37153340
2005-08-28,3.07,3.1129,2.9486,3.0271,19052915
2005-09-04,3.0071,3.14,3,3.0771,24424134
2005-09-11,3.0771,3.5786,3.0643,3.5671,51450476
2005-09-18,3.5971,3.64,3.3071,3.4571,41048175
2005-09-25,3.4786,3.4886,3.2143,3.4529,30838423
2005-10-02,3.4457,3.8071,3.35,3.7129,57481207
2005-10-09,3.7114,3.9914,3.6229,3.8929,54896072
2005-10-16,3.9143,4.1786,3.8343,4.1086,52274649
2005-10-23,4.1143,4.2129,3.6543,3.7357,64975064
2005-10-30,3.7829,3.9457,3.4014,3.7543,77069818
